	Number of Epoch	Training -Dist	Validation - Dist	Training Time(CPU time/s)	Validation Time(CPU time/s)
	199	60.25204	59.73442	37.40083	2.15080
	200	60.22146	59.65225	38.24866	2.19391
	201	60.12465	59.60283	38.48490	2.18758
	202	60.08892	59.63325	37.92980	2.17557
	203	60.06190	59.60250	37.88723	2.16189
	204	59.99038	59.52592	37.63726	2.18212
	205	59.93979	59.35350	37.49232	2.17966
	206	59.87519	59.46450	37.97926	2.17331
	207	59.84248	59.41258	40.22537	2.17562
	208	59.79031	59.23017	40.74386	2.15149
	209	59.71963	59.22142	41.81082	2.22893
	210	59.70273	59.26650	41.09403	2.21176
	211	59.62175	59.18008	43.45022	2.20218
	212	59.57106	59.04742	40.41076	2.13927
	213	59.56821	59.03742	40.39545	2.03537
	214	59.52673	59.03467	40.32076	2.22747
	215	59.41154	58.99183	41.49259	2.17620
	216	59.38298	58.89458	42.27009	2.21009
	217	59.32392	58.85700	40.46970	2.19912
	218	59.27875	58.74367	39.20250	2.16736
	219	59.24046	58.69392	40.01398	2.15543
	220	59.22313	58.74675	39.50893	2.13948
	221	59.13433	58.61392	40.97807	2.16755
	222	59.11210	58.57175	38.67741	2.14285
	223	59.09796	58.50917	38.17096	2.17015
	224	59.05862	58.50567	37.71703	2.19217
	225	58.97485	58.45717	39.62682	2.20996
	226	58.90777	58.41367	39.15349	2.16860
	227	58.82573	58.27817	38.71510	2.18496
	228	58.86598	58.32825	40.71703	2.20267
	229	58.79921	58.32717	39.59466	2.14624
	230	58.72908	58.28850	40.83501	2.22008
	231	58.67758	58.15292	38.23720	2.19232
	232	58.62540	58.11500	41.00784	2.15620
	233	58.59977	58.13442	40.50995	2.17540
	234	58.58669	58.08525	40.11662	2.21181
	235	58.53621	58.00667	38.26514	2.15666
	236	58.45960	57.97850	37.69548	2.19214
	237	58.37635	57.98517	37.78921	2.17340
	238	58.45802	57.88608	38.03588	2.16360
	239	58.33944	57.86533	37.34294	2.07630
	240	58.30379	57.80608	37.65752	2.15172
	241	58.23265	57.86733	39.17373	2.14335
	242	58.22854	57.71242	37.68759	2.25717
	243	58.22827	57.70100	38.01641	2.20900
	244	58.16038	57.69392	37.68663	2.21889
	245	58.12108	57.57425	37.94224	2.15738
	246	58.06704	57.60283	37.39311	2.19298
	247	58.05144	57.48717	38.10446	2.19567
	248	58.00515	57.53900	37.45227	2.15476
	249	58.02142	57.47067	37.55879	2.14211
	250	57.89179	57.33583	38.23602	2.15327
	251	57.87660	57.46850	39.86647	2.19136
	252	57.84963	57.47383	40.43956	2.18403
	253	57.80435	57.37883	43.53066	2.13325
	254	57.74156	57.30825	41.02502	2.19625
	255	57.72112	57.18867	39.17688	2.16696
	256	57.70627	57.15133	37.82339	2.17949
	257	57.66165	57.18458	37.51308	2.16775
	258	57.59450	57.13442	37.68147	2.22563
	259	57.58273	57.05025	42.31450	2.12956
	260	57.52487	57.10608	39.04129	2.22485
	261	57.51571	57.02450	40.36630	2.09065
	262	57.44542	56.99608	41.29731	2.20187
	263	57.43310	56.99158	38.68347	2.58510
	264	57.36435	56.83342	41.47132	2.23031
	265	57.34196	56.91325	43.33242	2.15790
	266	57.30779	56.82867	40.15851	2.19080
	267	57.31798	56.77242	39.76673	2.20604
	268	57.23087	56.85650	41.36979	2.14833
	269	57.15052	56.71717	45.29584	2.14117
	270	57.19342	56.68317	39.56872	2.15938
	271	57.11706	56.67342	37.74845	2.14011
	272	57.10312	56.63833	38.14093	2.15060
	273	57.05429	56.60600	37.33027	2.18237
	274	56.98975	56.61608	37.87386	2.18592
	275	57.01244	56.46125	37.62583	2.16431
	276	56.98800	56.51333	37.54792	2.15661
	277	56.92819	56.44708	37.42005	2.20761
	278	56.90923	56.47875	38.72123	2.17825
	279	56.85710	56.36233	38.14421	2.20052
	280	56.84829	56.32867	37.70766	2.17720
	281	56.81369	56.26125	37.90843	2.16318
	282	56.73463	56.20917	37.71366	2.10821
	283	56.70885	56.22142	37.45355	2.17058
	284	56.67183	56.29350	37.50329	2.16254
	285	56.61344	56.20192	37.52419	2.15524
	286	56.60735	56.16075	40.93107	2.15302
	287	56.59031	56.10417	40.00398	2.17845
	288	56.54846	56.16100	37.81180	2.17103
	289	56.49258	56.11767	38.23028	2.19283
	290	56.47967	56.06817	38.52422	2.18090
	291	56.49027	55.94583	37.43027	2.16032
	292	56.38808	55.99483	37.37690	2.18515
	293	56.44271	55.94742	37.87552	2.20650
	294	56.34910	55.91483	38.40753	2.15539
	295	56.36317	55.92625	37.64706	2.23548
	296	56.27365	55.84992	37.87965	2.16670
	297	56.26554	55.78183	37.80698	2.16879
	298	56.26877	55.86850	37.40357	2.20385
	299	56.18179	55.80475	37.26881	2.14088
	300	56.17437	55.72767	37.69698	2.14584
	301	56.18175	55.79625	37.90396	2.18673
	302	56.12923	55.73233	37.63826	2.18749
	303	56.03658	55.67108	37.60376	2.19027
	304	56.09031	55.59692	37.81304	2.17284
	305	55.98679	55.56442	37.51607	2.13183
	306	56.01177	55.45533	38.56620	2.17456
	307	55.98823	55.54575	41.11596	2.14374
	308	55.92596	55.49242	38.43537	2.15561
	309	55.91225	55.53050	37.64029	2.17673
	310	55.87573	55.37200	37.44374	2.15296
	311	55.87571	55.42475	38.12416	2.18565
	312	55.84369	55.33433	37.50074	2.25573
	313	55.80740	55.36850	38.31227	2.19987
	314	55.77488	55.24842	37.65862	2.20607
	315	55.74110	55.32475	39.75905	2.18078
	316	55.70596	55.28392	39.73658	2.17274
	317	55.70531	55.24542	37.35905	2.19580
	318	55.63085	55.16833	37.85332	2.17671
	319	55.60598	55.20742	37.73530	2.18092
	320	55.60410	55.09233	37.49530	2.16655
	321	55.54996	55.19733	37.48042	2.27701
	322	55.52575	55.06067	37.42755	2.17525
	323	55.49837	55.00142	37.37005	2.07295
	324	55.49494	55.09358	38.43599	2.19071
	325	55.45231	55.00925	37.77750	2.20029
	326	55.46379	54.90308	38.02901	2.18332
	327	55.38012	54.94517	37.62251	2.19500
	328	55.34729	55.01625	37.67548	2.18725
	329	55.32123	54.84333	37.91517	2.18833
	330	55.33602	54.80825	37.92070	2.15201
	331	55.33675	54.81475	38.00524	2.18297
	332	55.30931	54.77475	37.56141	2.15758
	333	55.21462	54.76875	38.16426	2.16832
	334	55.23329	54.79883	37.40530	2.15303
	335	55.19938	54.70400	37.22114	2.14585
	336	55.19367	54.73767	37.87373	2.19605
	337	55.08490	54.71083	37.39902	2.15962
	338	55.06954	54.62658	37.62388	2.18622
	339	55.10387	54.71675	37.24321	2.15700
	340	55.01558	54.61458	37.21537	2.16040
	341	55.02758	54.58900	37.42703	2.18459
	342	54.98133	54.61033	37.42024	2.17285
	343	54.95321	54.46117	37.35083	2.18477
	344	54.92015	54.53250	38.24739	2.19825
	345	54.86863	54.40800	37.39706	2.17473
	346	54.89735	54.46000	37.18291	2.17000
	347	54.86298	54.45825	37.60800	2.16486
	348	54.82096	54.41958	38.06852	2.17852
	349	54.82471	54.36933	37.29303	2.16503
	350	54.74056	54.33708	37.45936	2.18008
	351	54.79250	54.33850	37.63675	2.17449
	352	54.66815	54.38450	38.21933	2.17628
	353	54.71787	54.29367	37.62337	2.17514
	354	54.71271	54.27050	37.24838	2.17292
	355	54.66900	54.37150	37.44772	2.19909
	356	54.64212	54.30833	37.07452	2.17910
	357	54.62515	54.21908	37.42495	2.18052
	358	54.59096	54.28092	37.39450	2.14495
	359	54.60806	54.20517	37.09540	2.17812
	360	54.51644	54.14725	37.25819	2.17265
	361	54.50998	54.20400	37.33998	2.18038
	362	54.47171	54.06117	37.14846	2.39245
	363	54.47190	54.00458	37.62870	2.20145
	364	54.43158	53.97308	37.50505	2.18236
	365	54.43275	54.06733	37.63729	2.18190
	366	54.42729	54.00625	37.78085	2.17850
	367	54.39271	54.08167	37.29228	2.17836
	368	54.37446	54.01733	38.10952	2.20600
	369	54.33275	53.99400	38.14556	2.18147
	370	54.29731	53.91425	37.83021	2.17038
	371	54.22537	53.88725	38.02943	2.14859
	372	54.30052	53.87108	37.40657	2.17483
	373	54.30446	53.89033	37.58355	2.17903
	374	54.22467	53.84292	37.65357	2.18928
	375	54.24135	53.79392	39.32670	2.19070
	376	54.21835	53.83950	43.36335	2.18367
	377	54.17262	53.82483	42.02658	2.21280
	378	54.15465	53.77933	40.58126	2.15267
	379	54.14321	53.68450	39.04868	2.18552
	380	54.07527	53.72300	38.35388	2.14244
	381	54.07473	53.67683	38.50655	2.16474
	382	54.05379	53.67792	41.63550	2.17777
	383	54.01717	53.67892	37.16341	2.14155
	384	53.99240	53.56967	37.57682	2.10656
	385	53.92854	53.67950	40.90529	2.15720
	386	53.92590	53.49500	37.79822	2.15989
	387	53.97081	53.54758	37.65679	2.13873
	388	53.92654	53.58208	38.14764	2.15055
	389	53.90546	53.51267	37.42844	2.14452
	390	53.85648	53.45592	37.67397	2.16422
	391	53.85729	53.52167	37.60679	2.19231
	392	53.80888	53.43667	37.89957	2.15697
	393	53.81317	53.41233	40.68696	2.21124
	394	53.73604	53.44142	39.73581	2.17601
	395	53.75081	53.35750	38.61608	2.16066
	396	53.78821	53.37517	37.55918	2.21989
	397	53.77794	53.26992	37.53415	2.15365
	398	53.74304	53.33550	38.70433	2.21162
	399	53.67242	53.22633	38.28962	2.21296
	400	53.67542	53.25358	37.56715	2.15726
	401	53.65260	53.23633	37.34488	2.13338
	402	53.61704	53.25900	38.26522	2.14805
	403	53.57829	53.15292	37.30369	2.17442
	404	53.54983	53.14475	37.93065	2.15068
	405	53.59227	53.08842	37.89487	2.16774
	406	53.54046	53.09067	37.42845	2.15171
	407	53.53998	53.09242	37.46321	2.15262
	408	53.46298	53.09533	37.14103	2.15823
	409	53.45225	53.01217	37.49037	2.16201
	410	53.47171	53.11608	40.52483	2.16502
	411	53.42308	53.08983	37.61778	2.19693
	412	53.39827	53.03325	37.78692	2.17313
